key,en,zh,zh_TW,zh_CN,ja,ko,de,es,fr,it,pt,ru,tr,vi,id,ar,hi
account_anonymous,Anonymous account,匿名帳號,匿名帳號,匿名账号,匿名アカウント,익명 계정,Anonymes Konto,Cuenta anónima,Compte anonyme,Account anonimo,Conta anônima,Анонимный аккаунт,Anonim hesap,Tài khoản ẩn danh,Akun anonim,حساب مجهول,अनाम खाता
account_unavailable,Account features are temporarily unavailable.,帳戶功能暫時無法使用。,帳戶功能暫時無法使用。,账户功能暂时不可用。,アカウント機能は一時的に利用できません。,계정 기능을 일시적으로 사용할 수 없습니다.,Kontofunktionen sind vorübergehend nicht verfügbar.,Las funciones de cuenta no están disponibles temporalmente.,Les fonctionnalités du compte sont temporairement indisponibles.,Le funzioni dell'account non sono temporaneamente disponibili.,Os recursos da conta estão temporariamente indisponíveis.,Функции аккаунта временно недоступны.,Hesap özellikleri geçici olarak kullanılamıyor.,Tính năng tài khoản tạm thời không khả dụng.,Fitur akun tidak tersedia untuk sementara.,ميزات الحساب غير متاحة مؤقتاً.,खाता सुविधाएँ अस्थायी रूप से अनुपलब्ध हैं।
common_cancel,Cancel,取消,取消,取消,キャンセル,취소,Abbrechen,Cancelar,Annuler,Annulla,Cancelar,Отмена,İptal,Hủy,Batal,إلغاء,रद्द करें
common_confirm,Confirm,確定,確定,确定,確定,확인,Bestätigen,Confirmar,Confirmer,Conferma,Confirmar,Подтвердить,Onayla,Xác nhận,Konfirmasi,تأكيد,पुष्टि करें
common_ok,OK,好,好,好,OK,확인,OK,Aceptar,OK,OK,OK,ОК,Tamam,OK,OK,موافق,ठीक है
common_delete,Delete,刪除,刪除,删除,削除,삭제,Löschen,Eliminar,Supprimer,Elimina,Excluir,Удалить,Sil,Xóa,Hapus,حذف,हटाएँ
common_retry,Retry,重試,重試,重试,再試行,다시 시도,Erneut versuchen,Reintentar,Réessayer,Riprova,Tentar novamente,Повторить,Yeniden dene,Thử lại,Coba lagi,إعادة المحاولة,पुनः प्रयास करें
settings_color,Theme color,主題顏色,主題顏色,主题颜色,テーマカラー,테마 색상,Designfarbe,Color del tema,Couleur du thème,Colore del tema,Cor do tema,Цвет темы,Tema rengi,Màu giao diện,Warna tema,لون السمة,थीम रंग
lyrics_import,Import lyrics,匯入歌詞,匯入歌詞,导入歌词,歌詞をインポート,가사 가져오기,Liedtext importieren,Importar letra,Importer les paroles,Importa testo,Importar letra,Импортировать текст,Şarkı sözü içe aktar,Nhập lời bài hát,Impor lirik,استيراد كلمات الأغنية,बोल आयात करें
lyrics_import_success,Lyrics imported,歌詞已匯入,歌詞已匯入,歌词已导入,歌詞をインポートしました,가사를 가져왔습니다,Liedtext importiert,Letra importada,Paroles importées,Testo importato,Letra importada,Текст песни импортирован,Şarkı sözü içe aktarıldı,Đã nhập lời bài hát,Lirik diimpor,تم استيراد كلمات الأغنية,बोल आयात किए गए
lyrics_import_failed,Couldn't import lyrics,無法匯入歌詞,無法匯入歌詞,无法导入歌词,歌詞をインポートできませんでした,가사를 가져올 수 없습니다,Liedtext konnte nicht importiert werden,No se pudo importar la letra,Impossible d'importer les paroles,Impossibile importare il testo,Não foi possível importar a letra,Не удалось импортировать текст,Şarkı sözü içe aktarılamadı,Không thể nhập lời bài hát,Tidak dapat mengimpor lirik,تعذّر استيراد كلمات الأغنية,बोल आयात नहीं किए जा सके
lyrics_import_too_large,Lyrics file is too large,歌詞檔案太大,歌詞檔案太大,歌词文件太大,歌詞ファイルが大きすぎます,가사 파일이 너무 큽니다,Die Liedtextdatei ist zu groß,El archivo de letra es demasiado grande,Le fichier de paroles est trop volumineux,Il file del testo è troppo grande,O arquivo de letra é muito grande,Файл с текстом слишком большой,Şarkı sözü dosyası çok büyük,Tệp lời bài hát quá lớn,File lirik terlalu besar,ملف كلمات الأغنية كبير جداً,बोल फ़ाइल बहुत बड़ी है
lyrics_import_empty,No lyrics found in this file,這個檔案沒有歌詞內容,這個檔案沒有歌詞內容,这个文件没有歌词内容,このファイルに歌詞が見つかりません,이 파일에서 가사를 찾을 수 없습니다,Kein Liedtext in dieser Datei gefunden,No se encontró ninguna letra en este archivo,Aucune parole trouvée dans ce fichier,Nessun testo trovato in questo file,Nenhuma letra encontrada neste arquivo,В этом файле не найден текст,Bu dosyada şarkı sözü bulunamadı,Không tìm thấy lời bài hát trong tệp này,Tidak ada lirik di file ini,لم يتم العثور على كلمات في هذا الملف,इस फ़ाइल में कोई बोल नहीं मिला
lyrics_empty,No lyrics for this track yet,尚未匯入這首歌的歌詞,尚未匯入這首歌的歌詞,尚未导入这首歌的歌词,この曲の歌詞はまだありません,이 곡의 가사가 아직 없습니다,Noch kein Liedtext für diesen Titel,Aún no hay letra para esta pista,Pas encore de paroles pour ce titre,Ancora nessun testo per questo brano,Ainda sem letra para esta faixa,Для этого трека пока нет текста,Bu parça için henüz şarkı sözü yok,Chưa có lời cho bài hát này,Belum ada lirik untuk lagu ini,لا توجد كلمات لهذا المقطع بعد,इस ट्रैक के लिए अभी कोई बोल नहीं
lyrics_reimport,Re-import,重新匯入,重新匯入,重新导入,再インポート,다시 가져오기,Erneut importieren,Volver a importar,Réimporter,Reimporta,Reimportar,Импортировать заново,Yeniden içe aktar,Nhập lại,Impor ulang,إعادة الاستيراد,फिर से आयात करें
lyrics_delete,Delete lyrics,刪除歌詞,刪除歌詞,删除歌词,歌詞を削除,가사 삭제,Liedtext löschen,Eliminar letra,Supprimer les paroles,Elimina testo,Excluir letra,Удалить текст,Şarkı sözünü sil,Xóa lời bài hát,Hapus lirik,حذف كلمات الأغنية,बोल हटाएँ
lyrics_delete_confirm,Delete lyrics for this track?,要刪除這首歌的歌詞嗎?,要刪除這首歌的歌詞嗎?,要删除这首歌的歌词吗?,この曲の歌詞を削除しますか？,이 곡의 가사를 삭제할까요?,Liedtext für diesen Titel löschen?,¿Eliminar la letra de esta pista?,Supprimer les paroles de ce titre ?,Eliminare il testo di questo brano?,Excluir a letra desta faixa?,Удалить текст этого трека?,Bu parçanın şarkı sözü silinsin mi?,Xóa lời của bài hát này?,Hapus lirik untuk lagu ini?,حذف كلمات هذا المقطع؟,इस ट्रैक के बोल हटाएँ?
lyrics_show,Show lyrics,顯示歌詞,顯示歌詞,显示歌词,歌詞を表示,가사 표시,Liedtext anzeigen,Mostrar letra,Afficher les paroles,Mostra testo,Mostrar letra,Показать текст,Şarkı sözünü göster,Hiện lời bài hát,Tampilkan lirik,عرض كلمات الأغنية,बोल दिखाएँ
lyrics_hide,Show artwork,顯示封面,顯示封面,显示封面,アートワークを表示,앨범 아트 표시,Cover anzeigen,Mostrar carátula,Afficher la pochette,Mostra copertina,Mostrar capa,Показать обложку,Albüm kapağını göster,Hiện ảnh bìa,Tampilkan sampul,عرض صورة الغلاف,आर्टवर्क दिखाएँ
lyrics_font_size,Font size,字體大小,字體大小,字体大小,文字サイズ,글자 크기,Schriftgröße,Tamaño de fuente,Taille de police,Dimensione del carattere,Tamanho da fonte,Размер шрифта,Yazı tipi boyutu,Cỡ chữ,Ukuran font,حجم الخط,फ़ॉन्ट आकार
